證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
1101,台泥,18027435,"6,889",802203541,44.80,44.80,44.30,44.30,-,0.5,44.30,761,44.35,182,10.60,
1101B,台泥乙特,27340,30,1427280,52.20,52.30,52.10,52.30,-,0.1,52.10,8,52.30,9,0.00,
1102,亞泥,13051427,"6,986",551305459,42.75,42.95,42.00,42.10,-,0.8,42.10,69,42.15,23,11.66,
1103,嘉泥,357335,112,5934560,16.70,16.70,16.55,16.65,+,0.05,16.60,1,16.65,2,15.86,
1104,環泥,126738,92,2406881,18.95,19.10,18.95,18.95,,0.0,18.95,56,19.00,9,10.24,
1108,幸福,47500,23,325694,6.86,6.88,6.85,6.85,-,0.01,6.85,3,6.87,4,0.00,
1109,信大,644748,250,11041326,17.25,17.25,17.05,17.25,,0.0,17.20,25,17.25,12,6.98,
1110,東泥,22415,14,371547,16.60,16.65,16.50,16.60,,0.0,16.50,59,16.60,2,118.57,
1201,味全,4705079,"2,056",141567129,30.40,30.45,29.80,30.10,+,0.1,30.10,8,30.15,14,7.68,
1203,味王,28850,18,771764,26.75,26.80,26.75,26.75,,0.0,26.75,4,26.80,8,13.31,
1210,大成,1697730,"1,080",67705373,39.80,40.00,39.50,39.90,+,0.25,39.85,31,39.90,7,17.50,
1215,卜蜂,2720934,"1,689",193599093,71.00,71.60,70.30,71.40,+,1.1,71.30,2,71.40,3,20.58,
1216,統一,12776542,"5,195",1048313257,81.50,82.60,81.30,82.40,+,1.1,82.30,1,82.40,114,25.43,
1217,愛之味,486379,177,3497513,7.19,7.22,7.16,7.19,+,0.01,7.19,3,7.21,1,143.80,
1218,泰山,467336,206,9370770,20.05,20.15,20.00,20.00,-,0.05,20.00,33,20.10,6,19.80,
1219,福壽,12149,18,218412,18.00,18.05,17.95,18.00,+,0.1,18.00,1,18.10,3,0.00,
1220,台榮,78013,28,847587,10.85,10.90,10.80,10.80,,0.0,10.80,35,10.90,9,27.69,
1225,福懋油,88063,82,5021754,56.00,58.00,55.50,57.90,+,1.7,57.90,3,58.20,1,50.35,
1227,佳格,799844,574,47138996,59.00,59.00,58.50,59.00,+,0.2,58.90,23,59.10,10,17.88,
1229,聯華,1304238,828,50615894,38.60,38.95,38.50,38.95,+,0.35,38.90,43,38.95,26,13.67,
1231,聯華食,161700,124,7507566,46.40,46.60,46.30,46.35,-,0.2,46.35,2,46.45,1,14.90,
1232,大統益,70322,80,8484117,120.50,121.00,120.00,120.00,-,0.5,120.00,21,120.50,10,19.08,
1233,天仁,10000,10,385900,38.30,38.80,38.30,38.50,+,0.15,38.50,1,38.65,3,19.35,
1234,黑松,144187,107,4591621,31.85,31.90,31.80,31.90,X,0.0,31.85,9,31.95,2,17.24,
1235,興泰,5000,4,142100,28.30,28.60,28.30,28.60,+,0.1,28.30,2,28.60,1,40.28,
1236,宏亞,64031,15,864226,13.50,13.50,13.45,13.45,,0.0,13.40,7,13.45,2,0.00,
1256,鮮活果汁-KY,213509,208,46385007,219.00,222.00,214.50,222.00,+,4.5,221.00,5,222.00,3,14.61,
1262,綠悅-KY,349772,213,13735845,39.25,39.35,39.25,39.25,+,0.05,39.25,113,39.30,7,0.00,
1301,台塑,6318674,"2,652",638942248,101.00,101.50,100.50,101.50,+,0.5,101.00,172,101.50,616,14.10,
1303,南亞,8319167,"2,482",593434642,71.20,71.60,71.20,71.60,+,0.2,71.50,1,71.60,83,12.81,
1304,台聚,496669,227,5880583,11.85,11.85,11.80,11.80,X,0.0,11.80,205,11.85,154,23.14,
1305,華夏,7182766,"1,922",157855196,21.80,22.15,21.50,22.15,X,0.0,22.10,19,22.15,76,12.24,
1307,三芳,166091,122,3911143,23.45,23.75,23.40,23.50,+,0.15,23.50,12,23.55,2,30.92,
1308,亞聚,1342370,329,19123479,14.30,14.40,14.15,14.25,X,0.0,14.20,84,14.25,142,23.36,
1309,台達化,750954,297,7747071,10.40,10.40,10.25,10.30,X,0.0,10.25,200,10.30,3,15.85,
1310,台苯,1359812,551,33186153,24.35,24.50,24.30,24.40,+,0.05,24.40,49,24.50,104,11.14,
1312,國喬,5051321,"1,756",104555390,20.90,20.90,20.60,20.65,-,0.3,20.60,206,20.65,20,7.43,
1312A,國喬特,1000,1,33850,33.85,33.85,33.85,33.85,,0.0,33.30,11,33.85,10,0.00,
1313,聯成,325488,149,3598135,11.05,11.10,11.00,11.05,,0.0,11.05,151,11.10,102,78.93,
1314,中石化,5937895,"1,437",62069633,10.45,10.50,10.40,10.45,,0.0,10.45,192,10.50,"1,679",8.10,
