證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
1101,台泥,10693732,"4,390",474603176,44.20,44.65,44.15,44.65,+,0.35,44.60,6,44.65,121,10.68,
1101B,台泥乙特,5000,5,261600,52.40,52.40,52.30,52.30,,0.0,52.20,22,52.30,4,0.00,
1102,亞泥,7707479,"4,296",325329164,42.25,42.70,41.95,42.25,+,0.15,42.25,38,42.30,105,11.70,
1103,嘉泥,421265,127,6999395,16.55,16.70,16.55,16.65,,0.0,16.60,25,16.65,54,15.86,
1104,環泥,224787,113,4259881,18.95,19.05,18.90,18.95,,0.0,18.90,105,18.95,122,10.24,
1108,幸福,90000,21,614380,6.85,6.87,6.81,6.85,,0.0,6.83,2,6.89,2,0.00,
1109,信大,359650,182,6265541,17.25,17.50,17.20,17.50,+,0.25,17.40,2,17.50,24,7.08,
1110,東泥,1000,1,16600,16.60,16.60,16.60,16.60,,0.0,16.50,60,16.55,1,118.57,
1201,味全,5603863,"2,555",172843794,30.10,31.20,30.10,30.95,+,0.85,30.95,75,31.00,63,7.90,
1203,味王,13056,16,348333,26.65,26.75,26.65,26.65,-,0.1,26.70,2,26.75,20,13.26,
1210,大成,940500,613,37432482,39.95,39.95,39.60,39.90,,0.0,39.85,19,39.90,3,17.50,
1215,卜蜂,1281590,896,91226856,71.40,72.00,70.80,70.90,-,0.5,70.80,95,70.90,2,20.43,
1216,統一,5541709,"3,037",451164016,81.60,82.30,81.20,81.30,-,1.1,81.30,190,81.40,1,25.09,
1217,愛之味,386691,151,2786131,7.23,7.23,7.17,7.21,+,0.02,7.21,50,7.22,2,144.20,
1218,泰山,494502,264,9908740,20.00,20.10,19.95,20.00,,0.0,20.00,81,20.10,51,19.80,
1219,福壽,25305,20,456840,18.05,18.15,18.00,18.15,+,0.15,18.10,2,18.20,5,0.00,
