證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
1101,台泥,9051203,"3,480",405662100,44.95,44.95,44.60,44.80,-,0.05,44.80,159,44.85,43,10.72,
1101B,台泥乙特,21218,20,1107700,52.20,52.30,52.20,52.30,,0.0,52.20,2,52.30,6,0.00,
1102,亞泥,7233094,"3,791",305161298,42.25,42.50,42.05,42.10,-,0.05,42.10,20,42.15,9,11.66,
1103,嘉泥,587488,159,9774496,16.65,16.75,16.60,16.75,+,0.05,16.65,1,16.75,68,15.95,
1104,環泥,141575,99,2686064,19.00,19.00,18.90,19.00,,0.0,18.90,85,19.00,5,10.27,
1108,幸福,24001,13,164676,6.90,6.90,6.85,6.85,-,0.03,6.84,6,6.86,4,0.00,
1109,信大,375159,154,6695580,17.90,17.95,17.75,17.90,,0.0,17.85,25,17.90,48,7.25,
1110,東泥,11200,10,185269,16.65,16.65,16.50,16.65,,0.0,16.50,55,16.65,9,118.93,
1201,味全,4617071,"2,242",138890077,30.10,30.35,29.80,30.05,X,0.0,30.05,31,30.10,2,7.67,
1203,味王,17231,13,459514,26.60,26.70,26.60,26.70,-,0.05,26.70,1,26.75,21,13.28,
1210,大成,1678876,"1,233",67890328,40.60,40.65,40.15,40.45,-,0.25,40.45,2,40.50,54,17.74,
1215,卜蜂,2617439,"1,878",188202908,72.40,73.50,70.10,72.30,-,0.3,72.20,5,72.30,5,20.84,
1216,統一,5875838,"3,091",471670260,80.50,81.00,80.00,80.00,-,0.3,80.00,424,80.10,3,24.69,
1217,愛之味,6342187,"1,927",46954228,7.26,7.52,7.26,7.52,+,0.29,7.51,61,7.52,17,150.40,
1218,泰山,1013553,477,20582169,20.30,20.40,20.20,20.35,+,0.05,20.35,50,20.40,60,20.15,
1219,福壽,16845,17,306060,18.20,18.20,18.15,18.15,,0.0,18.15,3,18.20,16,0.00,
1220,台榮,52021,25,560524,10.80,10.85,10.75,10.80,,0.0,10.75,1,10.80,13,27.69,
1225,福懋油,28105,30,1641366,59.00,59.00,57.70,57.70,-,1.0,57.70,3,58.00,18,50.17,
1227,佳格,403121,346,23704597,58.90,59.30,58.50,58.50,-,0.2,58.50,112,58.80,14,17.73,
1229,聯華,2042877,"1,288",80736426,39.90,40.00,39.20,39.50,-,0.35,39.45,2,39.50,49,13.86,
1231,聯華食,103840,86,4845033,47.00,47.00,46.45,46.50,-,0.5,46.50,3,46.70,3,14.95,
1232,大統益,68329,80,8460626,125.50,125.50,122.00,123.00,-,3.0,123.00,1,123.50,6,19.55,
1233,天仁,15010,14,578891,38.50,38.75,38.50,38.60,-,0.1,38.60,4,38.70,3,19.40,
1234,黑松,47900,42,1519224,31.75,31.80,31.70,31.70,-,0.1,31.70,12,31.75,11,17.14,
1235,興泰,8000,7,229650,28.45,28.80,28.45,28.75,+,0.4,28.40,12,28.75,1,40.49,
1236,宏亞,46219,11,621581,13.45,13.50,13.35,13.35,-,0.1,13.40,1,13.50,1,0.00,
1256,鮮活果汁-KY,274507,242,58563736,215.50,219.50,208.00,210.50,-,6.0,210.50,3,211.00,2,13.86,
1262,綠悅-KY,433964,157,17077531,39.35,39.45,39.30,39.30,-,0.05,39.30,"4,949",39.35,12,0.00,
1301,台塑,4105900,"1,916",416016826,101.00,101.50,101.00,101.50,+,0.5,101.00,654,101.50,134,14.10,
1303,南亞,5870698,"2,196",421366528,71.50,72.00,71.40,71.50,-,0.1,71.50,8,71.60,81,12.79,
1304,台聚,971680,251,11682360,12.10,12.10,11.95,12.05,-,0.05,12.00,4,12.05,121,23.63,
1305,華夏,1661518,728,36053989,21.80,21.80,21.60,21.70,-,0.1,21.65,28,21.70,31,11.99,
1307,三芳,146180,100,3387543,23.40,23.40,23.10,23.25,-,0.05,23.15,5,23.25,3,30.59,
1308,亞聚,1752537,643,25910989,14.75,15.00,14.60,14.90,+,0.15,14.85,33,14.90,5,24.43,
1309,台達化,1303658,368,13629756,10.30,10.60,10.25,10.50,+,0.2,10.50,270,10.55,168,16.15,
1310,台苯,2779772,854,68138978,24.35,24.65,24.30,24.50,+,0.15,24.45,83,24.50,8,11.19,
1312,國喬,2462655,991,50445207,20.45,20.60,20.35,20.45,,0.0,20.45,80,20.50,73,7.36,
1312A,國喬特,0,0,0,--,--,--,--,,0.0,33.10,1,33.80,28,0.00,
1313,聯成,1870942,593,21174887,11.20,11.40,11.20,11.35,+,0.15,11.35,40,11.40,172,81.07,
1314,中石化,7553406,"1,549",79096003,10.45,10.55,10.40,10.45,+,0.05,10.40,"3,025",10.45,22,8.10,
1315,達新,44434,22,1372637,31.40,31.40,30.70,31.00,+,0.05,30.90,2,31.00,8,24.41,
1316,上曜,1971601,633,31562853,15.65,15.70,15.40,15.50,-,0.2,15.50,62,15.55,66,0.00,
1319,東陽,1241750,781,57219400,46.30,46.40,45.40,45.75,-,0.65,45.75,7,46.10,3,14.03,
1321,大洋,62200,26,1724040,27.65,27.85,27.65,27.85,+,0.2,27.70,2,27.85,7,0.00,
1323,永裕,51000,37,1717700,33.80,33.80,33.55,33.80,+,0.1,33.60,2,33.80,16,10.18,
