證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
1101,台泥,12969865,"5,268",582908169,45.00,45.10,44.75,45.05,+,0.15,45.00,529,45.05,53,10.78,
1101B,台泥乙特,3109,5,162778,52.30,52.40,52.30,52.40,,0.0,52.20,3,52.40,8,0.00,
1102,亞泥,19007469,"6,006",887057870,46.80,46.85,46.05,46.80,+,0.45,46.75,4,46.80,115,12.96,
1103,嘉泥,514041,193,8582179,16.75,16.75,16.65,16.70,-,0.05,16.70,10,16.75,52,15.90,
1104,環泥,165004,135,3143976,19.05,19.10,19.05,19.05,,0.0,19.00,121,19.05,20,10.30,
1108,幸福,128002,54,881563,6.90,6.91,6.87,6.88,-,0.03,6.87,20,6.88,9,0.00,
1109,信大,750878,293,13334934,18.05,18.05,17.60,17.75,-,0.3,17.75,51,17.80,35,7.19,
1110,東泥,11300,8,188980,16.70,16.75,16.70,16.70,,0.0,16.70,63,16.75,60,119.29,
1201,味全,9901352,"4,264",305526287,31.70,31.70,30.40,30.55,-,1.2,30.50,183,30.55,32,7.79,
1203,味王,46045,42,1237697,26.95,26.95,26.80,26.85,-,0.1,26.80,33,26.85,12,13.36,
1210,大成,1152386,741,45782031,39.80,39.90,39.55,39.80,+,0.1,39.80,44,39.85,43,17.46,
1215,卜蜂,2290835,"1,462",160277105,70.40,71.20,69.30,69.60,+,0.1,69.50,224,69.60,16,20.06,
1216,統一,6533473,"3,103",531141713,81.70,81.70,80.90,80.90,-,0.7,80.90,63,81.00,104,24.97,
1217,愛之味,946917,245,6894268,7.30,7.35,7.26,7.26,-,0.04,7.26,21,7.27,7,145.20,
1218,泰山,839495,303,16978994,20.20,20.30,20.15,20.20,-,0.05,20.20,49,20.30,51,20.00,
1219,福壽,40102,35,723575,17.95,18.15,17.90,18.00,+,0.05,17.95,2,18.00,20,0.00,
1220,台榮,161200,84,1746849,10.95,10.95,10.80,10.80,X,0.0,10.80,5,10.85,7,27.69,
1225,福懋油,53003,49,3077992,58.60,58.60,57.60,57.60,-,0.9,57.50,3,57.70,3,50.09,
1227,佳格,746303,433,43990895,59.20,59.30,58.60,59.00,-,0.1,59.00,88,59.10,31,17.88,
1229,聯華,1055541,546,40739809,38.65,38.80,38.50,38.70,+,0.05,38.65,11,38.70,54,13.58,
1231,聯華食,127094,117,5932394,46.95,46.95,46.55,46.55,-,0.4,46.50,29,46.60,12,14.97,
1232,大統益,84341,116,10255102,122.50,123.00,121.00,121.00,-,1.5,121.00,7,121.50,26,19.24,
1233,天仁,32000,28,1232650,38.70,38.70,38.05,38.40,-,0.2,38.25,3,38.40,3,19.30,
1234,黑松,144224,88,4781542,33.10,33.20,33.10,33.10,,0.0,33.05,1,33.10,5,17.89,
1235,興泰,7600,8,215760,28.55,28.55,28.30,28.30,X,0.0,28.30,2,28.35,5,39.86,
1236,宏亞,69443,22,937642,13.50,13.60,13.40,13.50,-,0.1,13.50,10,13.60,8,0.00,
1256,鮮活果汁-KY,409375,399,91658125,224.50,232.50,220.00,222.00,-,3.5,221.00,3,223.00,4,14.61,
