證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
1101,台泥,13587745,"4,949",610672625,44.85,45.10,44.75,44.85,+,0.2,44.85,103,44.90,169,10.73,
1101B,台泥乙特,19068,13,996456,52.30,52.30,52.20,52.30,,0.0,52.20,16,52.30,5,0.00,
1102,亞泥,5421560,"3,661",228462438,42.10,42.35,42.00,42.15,-,0.1,42.15,6,42.20,33,11.68,
1103,嘉泥,446112,119,7415711,16.60,16.70,16.55,16.70,+,0.05,16.65,10,16.70,15,15.90,
1104,環泥,74695,65,1416717,18.95,19.00,18.95,19.00,+,0.05,18.95,52,19.00,16,10.27,
1108,幸福,12630,11,86707,6.85,6.88,6.84,6.88,+,0.03,6.86,3,6.89,1,0.00,
1109,信大,435762,266,7740313,17.50,17.95,17.50,17.90,+,0.4,17.85,11,17.90,13,7.25,
1110,東泥,25000,10,415800,16.60,16.65,16.60,16.65,+,0.05,16.60,3,16.65,1,118.93,
1201,味全,4540450,"1,963",138992779,31.00,31.05,30.20,30.65,-,0.3,30.65,10,30.70,4,7.82,
1203,味王,94373,45,2513720,26.60,26.75,26.50,26.75,+,0.1,26.65,1,26.75,1,13.31,
1210,大成,3047683,"1,771",123540158,39.90,40.95,39.90,40.70,+,0.8,40.70,7,40.75,42,17.85,
1215,卜蜂,4144002,"2,690",301131831,71.50,74.00,71.00,72.60,+,1.7,72.60,8,72.80,1,20.92,
1216,統一,9542955,"3,860",767498122,81.00,81.10,79.60,80.30,-,1.0,80.30,36,80.40,62,24.78,
1217,愛之味,664047,262,4807223,7.22,7.30,7.20,7.23,+,0.02,7.23,14,7.26,8,144.60,
1218,泰山,1510161,567,30463036,20.10,20.35,19.95,20.30,+,0.3,20.30,16,20.35,78,20.10,
1219,福壽,41781,16,757858,18.15,18.15,18.10,18.15,,0.0,18.10,7,18.15,12,0.00,
1220,台榮,29013,14,312689,10.85,10.85,10.75,10.80,-,0.05,10.75,22,10.80,1,27.69,
1225,福懋油,86359,74,5016307,59.50,59.50,57.70,58.70,,0.0,58.70,3,58.90,2,51.04,
1227,佳格,794907,529,46655821,58.80,59.00,58.50,58.70,-,0.4,58.70,13,58.90,8,17.79,
1229,聯華,2082981,"1,109",82804355,39.35,39.85,39.35,39.85,+,0.55,39.80,34,39.85,133,13.98,
1231,聯華食,214982,194,10050093,46.20,47.00,46.20,47.00,+,0.8,46.90,2,47.00,7,15.11,
1232,大統益,168422,171,20966172,121.00,126.00,121.00,126.00,+,5.0,125.50,2,126.00,5,20.03,
1233,天仁,14047,13,539977,38.50,38.70,38.35,38.70,+,0.2,38.70,11,38.80,1,19.45,
1234,黑松,68000,51,2161900,31.90,31.90,31.70,31.80,-,0.1,31.75,33,31.85,9,17.19,
1235,興泰,3000,3,85000,28.30,28.35,28.30,28.35,+,0.05,28.35,4,28.50,1,39.93,
1236,宏亞,14103,13,190255,13.55,13.55,13.40,13.45,-,0.1,13.45,2,13.50,2,0.00,
1256,鮮活果汁-KY,142395,137,30938807,218.00,221.00,214.50,216.50,-,0.5,216.50,1,217.00,2,14.25,
1262,綠悅-KY,152203,98,5983875,39.30,39.40,39.30,39.35,+,0.05,39.30,575,39.35,76,0.00,
1301,台塑,5697919,"2,858",573004754,100.50,101.50,100.00,101.00,,0.0,101.00,59,101.50,281,14.03,
1303,南亞,6477558,"2,069",463299992,71.20,72.00,71.20,71.60,-,0.1,71.60,29,71.70,1,12.81,
1304,台聚,1725269,441,20823078,12.00,12.15,12.00,12.10,+,0.15,12.05,11,12.10,159,23.73,
1305,華夏,1557284,693,33950178,21.90,21.95,21.70,21.80,-,0.1,21.75,6,21.80,6,12.04,
1307,三芳,333210,204,7764724,23.45,23.50,23.00,23.30,-,0.15,23.25,7,23.30,48,30.66,
1308,亞聚,2351708,953,35152879,15.00,15.15,14.70,14.75,-,0.25,14.75,5,14.80,5,24.18,
1309,台達化,337629,120,3483977,10.25,10.35,10.25,10.30,+,0.05,10.30,69,10.35,55,15.85,
1310,台苯,1347090,573,32837332,24.45,24.45,24.35,24.35,-,0.05,24.35,67,24.40,126,11.12,
1312,國喬,4278606,"1,503",87673600,20.55,20.60,20.40,20.45,-,0.1,20.40,227,20.45,9,7.36,
1312A,國喬特,6000,5,199800,33.20,33.80,33.20,33.80,X,0.0,33.50,1,33.80,6,0.00,
1313,聯成,1476951,438,16551899,11.20,11.30,11.10,11.20,+,0.15,11.20,66,11.25,106,80.00,
1314,中石化,4548113,871,47416915,10.50,10.50,10.40,10.40,,0.0,10.40,"2,160",10.45,949,8.06,
1315,達新,33004,17,1021623,31.00,31.20,30.80,30.95,,0.0,30.80,13,30.95,1,24.37,
1316,上曜,1114164,380,17518086,15.75,15.80,15.65,15.70,,0.0,15.70,84,15.75,48,0.00,
1319,東陽,982250,704,45422799,46.15,46.50,45.85,46.40,+,0.25,46.35,1,46.40,1,14.23,
1321,大洋,327000,138,9062500,27.95,27.95,27.60,27.65,-,0.3,27.65,36,27.85,7,0.00,
1323,永裕,58116,40,1953807,33.60,33.70,33.60,33.70,,0.0,33.60,3,33.65,3,10.15,
1324,地球,23000,6,248550,10.80,10.85,10.80,10.85,,0.0,10.85,1,10.90,12,271.25,
1325,恆大,25150,24,397769,15.75,15.85,15.75,15.80,,0.0,15.75,2,15.80,9,21.35,
1326,台化,8549978,"3,129",814962763,95.80,96.10,95.00,95.30,-,0.7,95.30,42,95.40,70,12.54,
1337,再生-KY,2346864,524,14556035,6.14,6.27,6.10,6.15,+,0.02,6.15,2,6.16,2,0.00,
1338,廣華-KY,137066,122,9273193,68.70,68.70,67.40,67.70,-,0.6,67.60,1,67.80,3,12.44,
1339,昭輝,60000,50,2176600,36.35,36.35,36.20,36.35,,0.0,36.30,5,36.35,5,7.48,
1340,勝悅-KY,606182,348,11377185,18.90,19.05,18.60,18.70,-,0.45,18.65,14,18.75,6,110.00,
1341,富林-KY,3008,6,166656,55.40,55.40,55.40,55.40,,0.0,54.50,1,55.50,2,18.16,
1402,遠東新,4799932,"1,822",145148767,30.15,30.35,30.10,30.35,+,0.2,30.30,1,30.35,90,14.05,
1409,新纖,1236553,666,16348242,13.10,13.30,13.05,13.30,+,0.15,13.20,131,13.30,213,8.36,
1410,南染,65203,26,1718638,26.25,26.50,26.20,26.50,+,0.25,26.35,10,26.50,6,19.06,
1413,宏洲,68138,30,831019,12.20,12.25,12.15,12.20,,0.0,12.15,19,12.20,6,7.05,
1414,東和,89000,25,607130,6.84,6.85,6.80,6.81,,0.0,6.81,19,6.84,15,68.10,
1416,廣豐,60311,41,942700,15.65,15.65,15.60,15.65,-,0.05,15.60,17,15.65,36,15.81,
1417,嘉裕,2443890,664,15439801,6.37,6.37,6.26,6.33,-,0.07,6.32,5,6.33,33,0.00,
1418,東華,11449,8,92010,8.51,8.51,8.00,8.00,+,0.07,7.70,1,8.00,11,0.00,
1419,新紡,267,3,10985,--,--,--,--,,0.0,40.95,1,41.50,1,37.01,
1423,利華,180285,27,1870834,10.30,10.40,10.25,10.35,+,0.05,10.35,1,10.40,14,15.00,
1432,大魯閣,154000,61,1147160,7.48,7.50,7.37,7.50,+,0.02,7.45,16,7.50,2,0.00,
1434,福懋,1035152,573,36990101,35.60,35.90,35.55,35.80,+,0.2,35.80,9,35.85,3,12.34,
1435,中福,248005,65,1364467,5.45,5.53,5.41,5.52,+,0.07,5.47,6,5.52,13,138.00,
1436,華友聯,24451,21,1028352,41.95,42.35,41.90,42.25,+,0.35,42.15,2,42.30,1,11.12,
1437,勤益控,281945,141,6562829,23.50,23.55,23.05,23.20,,0.0,23.20,13,23.25,6,16.00,
1438,裕豐,82004,28,992698,12.10,12.25,12.00,12.25,+,0.25,12.25,8,12.30,2,0.00,
1439,中和,1303053,691,37174634,30.10,30.10,28.05,28.05,-,3.1,--,0,28.05,329,0.00,
1440,南紡,341771,146,4204341,12.30,12.35,12.25,12.30,,0.0,12.30,54,12.35,57,21.96,
1441,大東,417371,206,6189903,15.10,15.10,14.70,14.80,-,0.25,14.75,36,14.80,3,1.27,
1442,名軒,127708,54,2107580,16.50,16.55,16.45,16.55,+,0.1,16.50,9,16.55,18,150.45,
1443,立益,765820,110,6972355,9.50,9.50,9.01,9.07,-,0.41,9.07,1,9.09,1,0.00,
1444,力麗,1757407,606,16180590,9.27,9.30,9.18,9.19,-,0.11,9.19,15,9.20,8,17.02,
1445,大宇,26000,12,194630,7.52,7.52,7.45,7.49,,0.0,7.47,3,7.49,4,0.00,
1446,宏和,251000,132,7883550,31.60,31.70,31.10,31.25,,0.0,31.20,19,31.35,3,0.00,
1447,力鵬,270272,92,1959301,7.23,7.27,7.22,7.26,+,0.02,7.25,3,7.26,10,19.62,
1449,佳和,41300,21,206451,5.00,5.01,4.94,5.01,+,0.01,4.97,2,5.01,5,20.88,
1451,年興,142799,102,3668811,25.60,25.95,25.55,25.90,+,0.2,25.90,2,25.95,11,10.44,
1452,宏益,150001,72,2867319,19.00,19.20,19.00,19.20,+,0.2,19.15,1,19.20,12,13.06,
1453,大將,67236,26,607574,9.08,9.08,9.02,9.02,+,0.04,9.02,9,9.06,1,0.00,
1454,台富,12050,8,95615,7.92,7.98,7.85,7.96,+,0.04,7.90,3,7.97,4,36.18,
1455,集盛,2114000,530,18533070,8.89,8.89,8.71,8.74,-,0.15,8.74,28,8.75,23,0.00,
1456,怡華,28026,13,248289,8.92,8.92,8.76,8.88,+,0.12,8.79,1,8.84,2,59.20,
1457,宜進,383683,152,5348606,13.90,14.00,13.90,13.95,,0.0,13.95,28,14.00,112,8.56,
1459,聯發,50908,29,386057,7.64,7.64,7.55,7.58,-,0.06,7.58,3,7.61,4,0.00,
1460,宏遠,183040,87,2109059,11.60,11.60,11.50,11.50,,0.0,11.50,35,11.55,5,42.59,
1463,強盛,212000,78,3055050,14.35,14.55,14.30,14.50,+,0.15,14.45,1,14.55,6,11.60,
