證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
1101,台泥,33643219,"10,943",1485588854,44.50,44.55,44.00,44.05,-,0.65,44.05,488,44.10,48,10.54,
1101B,台泥乙特,15258,15,796693,52.20,52.30,52.20,52.30,+,0.1,52.20,26,52.30,3,0.00,
1102,亞泥,8384463,"4,275",347479030,41.45,41.70,41.20,41.40,-,0.4,41.40,37,41.45,17,11.47,
1103,嘉泥,1124583,298,18515363,16.60,16.60,16.30,16.50,-,0.15,16.45,47,16.50,46,15.71,
1104,環泥,139749,98,2636002,18.90,18.90,18.80,18.85,-,0.05,18.85,8,18.90,20,10.19,
1108,幸福,70000,15,476560,6.81,6.83,6.80,6.81,-,0.02,6.80,6,6.81,2,0.00,
1109,信大,329000,122,5822750,17.85,17.85,17.60,17.75,-,0.1,17.75,12,17.80,48,7.19,
1110,東泥,10000,6,167400,16.80,16.80,16.60,16.75,+,0.1,16.55,1,16.80,5,119.64,
1201,味全,2641518,"1,322",78258558,29.70,29.85,29.40,29.40,-,0.55,29.40,23,29.45,4,7.50,
1203,味王,46140,27,1228985,26.65,26.90,26.50,26.90,+,0.25,26.65,2,26.95,1,13.38,
1210,大成,1947998,"1,083",79439060,40.75,41.00,40.10,40.80,,0.0,40.80,660,40.85,3,17.89,
1215,卜蜂,1513659,"1,036",111579858,74.00,74.20,72.60,74.00,,0.0,73.90,2,74.00,53,21.33,
1216,統一,13926121,"6,219",1080763699,78.30,78.30,77.10,77.10,X,0.0,77.10,94,77.20,13,23.80,
1217,愛之味,1316706,469,9667980,7.40,7.40,7.31,7.32,-,0.08,7.31,102,7.32,11,146.40,
1218,泰山,985049,520,20233846,20.80,20.80,20.40,20.40,-,0.3,20.40,99,20.50,31,20.20,
1219,福壽,25278,15,456204,18.10,18.10,17.95,18.10,,0.0,18.10,1,18.15,2,0.00,
1220,台榮,82000,15,885600,10.80,10.80,10.80,10.80,,0.0,10.75,56,10.80,6,27.69,
1225,福懋油,16399,22,935060,56.70,57.20,56.70,57.10,+,0.4,57.10,1,57.40,1,49.65,
1227,佳格,645075,537,38378659,59.70,59.80,59.30,59.50,-,0.6,59.40,36,59.50,8,18.03,
1229,聯華,1583227,893,62316180,39.10,39.55,39.00,39.45,+,0.35,39.40,18,39.45,35,13.84,
1231,聯華食,168674,125,7777002,46.25,46.30,46.00,46.10,-,0.3,46.10,8,46.25,4,14.82,
1232,大統益,29286,51,3573178,122.00,122.50,121.50,122.00,+,0.5,122.00,1,122.50,1,19.81,
1233,天仁,54200,28,2089990,38.25,38.65,38.25,38.60,-,0.05,38.65,54,38.70,3,19.40,
1234,黑松,100560,44,3190676,31.70,31.75,31.70,31.75,+,0.05,31.70,31,31.75,3,17.16,
1235,興泰,4099,7,116559,28.40,28.60,28.35,28.60,+,0.15,28.60,1,28.75,1,40.28,
1236,宏亞,24307,16,330409,13.60,13.60,13.50,13.50,-,0.1,13.45,5,13.55,4,0.00,
1256,鮮活果汁-KY,314166,286,68533852,212.00,221.50,212.00,218.50,+,6.5,218.50,3,219.00,3,14.38,
1262,綠悅-KY,242750,104,9559375,39.40,39.40,39.35,39.35,,0.0,39.35,131,39.40,100,0.00,
1301,台塑,7374494,"4,301",733641718,100.00,100.50,99.10,99.50,-,1.0,99.40,149,99.50,106,13.82,
1303,南亞,7004233,"3,623",495323943,70.80,70.90,70.60,70.70,-,0.6,70.70,146,70.80,108,12.65,
1304,台聚,927995,332,11078018,11.90,12.00,11.90,11.95,,0.0,11.95,83,12.00,128,23.43,
1305,華夏,1324140,640,28116978,21.45,21.50,21.10,21.10,-,0.3,21.10,79,21.15,39,11.66,
1307,三芳,60502,53,1399744,23.10,23.25,23.10,23.15,-,0.1,23.15,3,23.20,5,30.46,
1308,亞聚,1159354,361,17326832,14.90,15.05,14.85,14.95,-,0.1,14.95,3,15.00,39,24.51,
1309,台達化,550505,138,5774424,10.45,10.55,10.45,10.50,-,0.05,10.45,55,10.50,93,16.15,
1310,台苯,682728,332,16702559,24.45,24.55,24.40,24.40,-,0.1,24.40,211,24.45,17,11.14,
1312,國喬,2951331,733,59979185,20.40,20.40,20.25,20.40,-,0.05,20.35,122,20.40,60,7.34,
1312A,國喬特,3000,3,100650,33.80,33.80,33.15,33.70,X,0.0,33.20,1,33.70,15,0.00,
1313,聯成,676905,360,7587879,11.30,11.30,11.15,11.20,-,0.1,11.20,51,11.25,49,80.00,
1314,中石化,7201348,"1,820",74923924,10.40,10.45,10.35,10.40,,0.0,10.40,252,10.45,"1,329",8.06,
1315,達新,25000,11,773300,31.00,31.00,30.90,31.00,-,0.2,31.00,1,31.05,2,24.41,
1316,上曜,1586501,647,20830408,12.85,13.35,12.85,13.20,X,0.0,13.20,18,13.25,20,0.00,
1319,東陽,1397000,"1,011",62859299,45.55,45.80,44.65,44.65,-,1.1,44.65,46,44.75,9,13.70,
1321,大洋,40000,20,1109900,27.80,27.80,27.65,27.75,-,0.1,27.65,16,27.80,12,0.00,
1323,永裕,131262,63,4415163,33.75,33.75,33.50,33.75,-,0.05,33.50,1,33.75,2,10.17,
1324,地球,8000,6,86450,10.80,10.85,10.80,10.85,,0.0,10.80,14,10.85,10,271.25,
1325,恆大,23150,12,364705,15.75,15.80,15.75,15.75,,0.0,15.70,18,15.75,3,21.28,
1326,台化,6947607,"4,558",652730269,94.20,94.70,93.50,93.90,-,1.1,93.90,146,94.00,"2,075",12.36,
1337,再生-KY,764750,318,4761574,6.20,6.25,6.19,6.23,-,0.03,6.23,9,6.24,19,0.00,
1338,廣華-KY,151100,101,10277600,67.40,68.50,67.40,67.50,-,0.8,67.50,6,67.60,1,12.41,
1339,昭輝,62070,46,2243708,36.20,36.25,36.05,36.15,-,0.1,36.10,28,36.15,3,7.44,
1340,勝悅-KY,68807,58,1264816,18.35,18.45,18.35,18.45,+,0.05,18.40,2,18.45,7,108.53,
1341,富林-KY,10000,9,550500,55.10,55.30,54.70,55.30,,0.0,54.70,1,55.30,1,18.13,
1402,遠東新,10947002,"3,626",321251491,29.45,29.65,29.20,29.25,-,0.35,29.25,47,29.30,"3,920",13.54,
1409,新纖,1379828,752,18139096,13.15,13.20,13.10,13.10,-,0.15,13.10,157,13.15,3,8.24,
1410,南染,17414,11,462608,26.70,26.70,26.40,26.60,+,0.25,26.20,1,26.50,7,19.14,
1413,宏洲,17000,11,206850,12.15,12.25,12.15,12.15,,0.0,12.15,2,12.20,8,7.02,
1414,東和,82512,39,561383,6.80,6.82,6.79,6.79,-,0.01,6.78,15,6.81,6,67.90,
1416,廣豐,103032,54,1588939,15.45,15.50,15.40,15.45,-,0.1,15.45,2,15.50,1,15.61,
1417,嘉裕,502473,150,3152000,6.29,6.31,6.25,6.27,-,0.05,6.26,22,6.27,8,0.00,
1418,東華,1662,3,12314,7.41,7.41,7.41,7.41,-,0.09,7.46,2,7.72,1,0.00,
1419,新紡,8086,12,330140,41.45,41.45,40.60,40.90,-,0.65,40.70,3,41.30,1,36.52,
1423,利華,43155,23,446052,10.35,10.35,10.30,10.30,-,0.1,10.30,6,10.35,6,14.93,
1432,大魯閣,155326,85,1203852,7.89,7.89,7.71,7.85,-,0.1,7.74,2,7.85,9,0.00,
1434,福懋,1131026,787,39575452,35.10,35.20,34.90,34.95,-,0.35,34.90,42,34.95,45,12.05,
