證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
1101,台泥,18355808,"5,003",824295610,45.05,45.10,44.80,44.80,-,0.25,44.80,864,44.85,107,10.72,
1101B,台泥乙特,4000,3,209600,52.40,52.40,52.40,52.40,,0.0,52.30,1,52.40,37,0.00,
1102,亞泥,23186818,"6,370",1000710450,43.20,43.55,42.90,42.90,X,0.0,42.90,308,42.95,260,11.88,
1103,嘉泥,847681,341,14075814,16.70,16.70,16.55,16.60,-,0.1,16.60,3,16.65,15,15.81,
1104,環泥,536610,354,10193605,19.05,19.10,18.95,18.95,-,0.1,18.95,60,19.05,1,10.24,
1108,幸福,49000,35,336450,6.85,6.88,6.85,6.86,-,0.02,6.86,1,6.90,2,0.00,
1109,信大,1268660,558,21992233,17.75,17.75,17.10,17.25,-,0.5,17.20,33,17.25,20,6.98,
1110,東泥,105000,24,1749300,16.70,16.75,16.60,16.60,-,0.1,16.60,80,16.65,1,118.57,
1201,味全,7211362,"3,383",218644072,30.80,31.15,29.95,30.00,-,0.55,30.00,243,30.05,41,7.65,
1203,味王,34131,26,914689,26.85,26.85,26.75,26.75,-,0.1,26.75,1,26.80,9,13.31,
1210,大成,1104883,768,43892596,39.90,39.95,39.60,39.65,-,0.15,39.60,135,39.65,21,17.39,
1215,卜蜂,1931193,"1,299",135826610,70.00,70.90,69.50,70.30,+,0.7,70.30,26,70.40,1,20.26,
1216,統一,8127988,"2,692",660499789,81.00,81.60,81.00,81.30,+,0.4,81.20,2,81.30,90,25.09,
1217,愛之味,1104231,329,7960724,7.25,7.25,7.18,7.18,-,0.08,7.18,80,7.20,20,143.60,
1218,泰山,832093,318,16734457,20.15,20.20,20.05,20.05,-,0.15,20.05,94,20.10,1,19.85,
1219,福壽,9300,9,168219,18.15,18.15,17.90,17.90,-,0.1,17.90,2,18.00,1,0.00,
1220,台榮,106100,37,1148220,10.85,10.85,10.80,10.80,,0.0,10.80,25,10.85,30,27.69,
1225,福懋油,102118,90,5821912,57.60,58.00,56.10,56.20,-,1.4,56.20,1,56.60,2,48.87,
1227,佳格,1213230,768,71402470,58.80,59.00,58.60,58.80,-,0.2,58.80,69,58.90,27,17.82,
1229,聯華,1055376,663,40810743,38.70,38.75,38.60,38.60,-,0.1,38.60,65,38.70,10,13.54,
1231,聯華食,151565,101,7050239,46.55,46.60,46.40,46.55,,0.0,46.55,2,46.60,4,14.97,
1232,大統益,111853,127,13472713,121.00,121.50,120.00,120.50,-,0.5,120.00,18,120.50,7,19.16,
1233,天仁,17001,15,654639,38.65,38.65,38.35,38.35,-,0.05,38.35,2,38.50,3,19.27,
1234,黑松,310426,204,10297196,33.10,33.30,33.10,33.30,+,0.2,33.20,35,33.30,18,18.00,
1235,興泰,7450,5,211484,28.35,28.50,28.35,28.50,+,0.2,28.50,1,28.60,2,40.14,
1236,宏亞,25000,7,337400,13.50,13.50,13.45,13.45,-,0.05,13.45,2,13.50,4,0.00,
1256,鮮活果汁-KY,198048,201,43354464,224.00,224.00,216.50,217.50,-,4.5,217.50,1,218.00,2,14.32,
1262,綠悅-KY,1048995,347,41204050,39.20,39.80,39.20,39.20,,0.0,39.20,386,39.30,1,0.00,
1301,台塑,6200179,"3,730",630252650,103.00,103.00,101.00,101.00,-,2.5,101.00,"1,271",101.50,332,14.03,
