證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
3016,嘉晶,6399163,"4,220",316635363,48.75,50.50,48.50,49.90,+,1.1,49.90,39,50.00,3,35.90,
3017,奇鋐,38651003,"18,062",1562317800,40.00,41.45,39.15,40.60,-,0.35,40.60,336,40.65,1,19.24,
3018,同開,77001,60,2015577,26.45,26.50,26.00,26.05,-,0.1,26.05,3,26.10,1,0.00,
3019,亞光,3346051,"2,366",275999513,81.10,83.50,81.00,83.40,+,1.6,83.30,49,83.40,14,21.28,
3021,鴻名,22000,12,320850,14.60,14.60,14.55,14.60,,0.0,14.55,4,14.60,3,11.06,
3022,威強電,511010,267,16999880,33.45,33.60,32.80,33.00,-,0.4,33.00,6,33.05,1,10.03,
3023,信邦,1759478,"1,273",231585574,129.00,133.00,128.00,133.00,+,3.5,132.50,13,133.00,51,19.25,
3024,憶聲,199544,49,1334423,6.67,6.83,6.61,6.69,+,0.02,6.69,1,6.79,2,11.74,
3025,星通,465001,300,11647274,24.60,25.45,24.60,24.95,+,0.35,24.90,6,25.10,7,356.43,
3026,禾伸堂,561708,477,53050060,95.20,95.20,93.80,94.70,+,0.1,94.70,1,94.80,1,5.83,
3027,盛達,377009,125,2963222,7.76,7.94,7.73,7.87,+,0.11,7.86,13,7.87,22,4.12,
3028,增你強,189204,142,4129738,22.10,22.10,21.75,21.75,,0.0,21.75,36,21.85,32,12.02,
3029,零壹,1538780,861,46424897,29.80,30.65,29.80,30.45,+,0.65,30.45,5,30.50,9,13.53,
3030,德律,538626,410,25480248,47.60,47.60,47.20,47.30,-,0.4,47.25,35,47.30,2,10.26,
3031,佰鴻,82100,41,960660,11.60,11.75,11.60,11.70,+,0.1,11.65,15,11.70,1,20.53,
3032,偉訓,95001,64,2498176,26.50,26.50,26.20,26.30,-,0.2,26.30,2,26.35,1,5.73,
3033,威健,264679,138,5357762,20.30,20.30,20.20,20.20,-,0.1,20.20,73,20.30,44,13.65,
3034,聯詠,5316191,"3,022",882987297,166.50,167.00,165.00,166.00,-,1.0,166.00,194,166.50,235,13.57,
3035,智原,3809679,"2,737",235667991,61.40,62.90,60.50,62.90,+,2.5,62.80,12,62.90,7,49.14,
3036,文曄,1445686,982,58629401,40.70,40.70,40.45,40.50,-,0.25,40.45,51,40.50,2,8.75,
3037,欣興,34446971,"13,882",1311417432,38.70,38.95,37.80,38.00,-,0.7,38.00,202,38.05,53,28.79,
3038,全台,3413605,"1,340",61019554,18.00,18.25,17.70,17.80,-,0.2,17.80,91,17.85,17,14.71,
3040,遠見,20155,15,607830,30.30,30.30,30.10,30.10,-,0.05,30.10,4,30.20,5,20.07,
3041,揚智,2799413,"1,231",31673365,11.20,11.45,11.15,11.30,+,0.25,11.25,217,11.30,17,0.00,
3042,晶技,1577831,933,60194956,38.45,38.80,37.85,38.40,-,0.25,38.40,3,38.45,4,18.64,
3043,科風,78081,18,176309,2.25,2.28,2.25,2.28,-,0.02,2.26,10,2.29,21,114.00,
3044,健鼎,1584330,"1,071",163773480,101.50,105.00,100.50,104.00,+,2.5,104.00,15,105.00,42,10.53,
3045,台灣大,8665167,"2,143",948178870,109.50,110.00,109.00,109.50,+,0.5,109.50,269,110.00,"1,058",22.62,
3046,建碁,35142,42,838653,23.90,24.20,23.70,23.70,+,0.2,23.60,1,23.90,1,65.83,
3047,訊舟,580556,231,6431166,11.00,11.15,11.00,11.05,+,0.05,11.05,26,11.10,80,14.17,
3048,益登,165130,100,2263380,13.70,13.80,13.65,13.75,,0.0,13.75,2,13.80,17,14.32,
3049,和鑫,25514134,"7,826",378629876,15.00,15.15,14.60,14.65,-,0.5,14.60,896,14.65,202,20.93,
3050,鈺德,397501,120,4604086,11.65,11.65,11.50,11.65,,0.0,11.55,25,11.65,61,16.88,
3051,力特,134563,53,416647,3.33,3.33,3.04,3.04,-,0.06,3.03,10,3.04,4,0.00,
3052,夆典,236787,87,2036478,8.54,8.63,8.54,8.60,+,0.04,8.60,1,8.62,5,0.00,
3054,立萬利,1,1,24,--,--,--,--,,0.0,23.75,2,24.30,1,0.00,
3055,蔚華科,23295,13,607520,26.00,26.25,26.00,26.10,,0.0,26.05,4,26.10,1,27.47,
3056,總太,1033615,503,23978701,23.00,23.45,22.95,23.40,+,0.35,23.40,10,23.45,14,137.65,
3057,喬鼎,71001,34,553377,7.84,7.84,7.75,7.83,-,0.01,7.83,3,7.88,3,0.00,
