證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
1101,台泥,29235522,"10,993",1277523987,43.85,44.00,43.50,43.55,-,0.5,43.55,252,43.60,274,10.42,
1101B,台泥乙特,106125,19,5540112,52.20,52.40,52.10,52.40,+,0.1,52.10,42,52.40,4,0.00,
1102,亞泥,9159560,"4,574",375164454,41.00,41.40,40.70,41.00,-,0.4,41.00,216,41.05,35,11.36,
1103,嘉泥,744539,215,12120678,16.45,16.45,16.20,16.25,-,0.25,16.25,85,16.35,17,15.48,
1104,環泥,294276,156,5529966,18.85,18.85,18.75,18.80,-,0.05,18.75,73,18.80,5,10.16,
1108,幸福,94212,29,641261,6.87,6.88,6.78,6.80,-,0.01,6.80,61,6.81,4,0.00,
1109,信大,639850,303,11056855,17.70,17.70,17.05,17.40,-,0.35,17.40,19,17.45,11,7.04,
1110,東泥,9000,9,150850,16.90,16.90,16.55,16.80,+,0.05,16.70,3,16.80,10,120.00,
1201,味全,4619522,"2,193",132082112,29.15,29.15,28.15,28.60,-,0.8,28.60,67,28.65,20,7.30,
1203,味王,43148,26,1150098,26.75,26.75,26.50,26.75,-,0.15,26.75,2,26.80,13,13.31,
1210,大成,1898588,"1,343",77310378,40.80,41.00,40.35,40.80,,0.0,40.80,11,40.85,33,17.89,
1215,卜蜂,2925754,"1,964",216705007,73.50,74.80,72.90,74.00,,0.0,74.00,63,74.10,6,21.33,
1216,統一,8975847,"3,990",686283787,76.10,77.60,75.70,76.80,-,0.3,76.80,46,76.90,2,23.70,
1217,愛之味,1620806,496,11856807,7.29,7.38,7.25,7.31,-,0.01,7.31,72,7.33,5,146.20,
1218,泰山,1233801,479,24740720,20.25,20.30,19.95,20.00,-,0.4,20.00,6,20.10,14,19.80,
1219,福壽,54807,30,987976,18.00,18.10,17.90,18.10,,0.0,18.10,2,18.15,11,0.00,
1220,台榮,111000,24,1192750,10.75,10.80,10.70,10.80,,0.0,10.70,11,10.80,13,27.69,
1225,福懋油,10418,14,592126,56.10,57.10,56.10,57.00,-,0.1,56.70,1,56.90,1,49.57,
1227,佳格,987113,716,57738467,58.60,58.80,58.30,58.50,-,1.0,58.50,98,58.60,6,17.73,
1229,聯華,2642262,961,106497649,39.35,39.35,38.95,39.00,-,0.45,39.00,143,39.05,49,13.68,
1231,聯華食,119205,124,5463052,45.80,46.05,45.60,45.85,-,0.25,45.85,3,46.05,6,14.74,
1232,大統益,51685,62,6270409,121.00,122.00,121.00,122.00,,0.0,121.00,21,122.00,5,19.81,
1233,天仁,28000,17,1080300,38.50,38.65,38.40,38.60,,0.0,38.60,86,38.65,4,19.40,
1234,黑松,42200,26,1338000,31.70,31.75,31.70,31.70,-,0.05,31.70,13,31.75,4,17.14,
1235,興泰,0,0,0,--,--,--,--,,0.0,28.35,1,28.45,1,40.07,
1236,宏亞,59099,14,797361,13.50,13.50,13.40,13.40,-,0.1,13.40,5,13.60,7,0.00,
1256,鮮活果汁-KY,333550,307,72862122,221.00,222.50,214.00,215.50,-,3.0,215.50,1,216.00,2,14.19,
1262,綠悅-KY,463100,197,18228785,39.35,39.40,39.35,39.35,,0.0,39.35,"2,775",39.40,188,0.00,
1301,台塑,11966723,"6,511",1172571290,98.90,98.90,97.50,97.50,-,2.0,97.50,156,97.60,15,13.54,
1303,南亞,11070773,"5,958",772506782,70.00,70.20,69.50,69.70,-,1.0,69.70,111,69.80,72,12.47,
1304,台聚,1361379,340,16181261,11.90,11.95,11.85,11.90,-,0.05,11.85,308,11.90,35,23.33,
1305,華夏,1787027,"1,007",36971605,21.10,21.10,20.60,20.60,-,0.5,20.60,134,20.65,55,11.38,
1307,三芳,98304,68,2266920,23.15,23.15,22.90,23.05,-,0.1,23.05,10,23.15,1,30.33,
1308,亞聚,1519613,423,22360688,14.75,14.85,14.60,14.60,-,0.35,14.60,21,14.65,48,23.93,
1309,台達化,952176,255,9790639,10.45,10.45,10.20,10.25,-,0.25,10.25,33,10.30,25,15.77,
1310,台苯,1990233,628,48214758,24.35,24.35,24.15,24.25,-,0.15,24.25,175,24.30,13,11.07,
1312,國喬,5470437,"1,554",109357795,20.20,20.20,19.90,19.90,-,0.5,19.90,646,19.95,20,7.16,
1312A,國喬特,36000,13,1199150,33.00,33.80,33.00,33.80,+,0.1,33.05,1,33.80,9,0.00,
1313,聯成,1022184,394,11284429,11.05,11.10,11.00,11.05,-,0.15,11.05,61,11.10,73,78.93,
1314,中石化,12280907,"2,653",126205483,10.40,10.40,10.20,10.25,-,0.15,10.25,177,10.30,579,7.95,
1315,達新,29000,13,894800,31.00,31.05,30.75,30.80,-,0.2,30.80,9,30.95,1,24.25,
1316,上曜,1577104,588,20087430,13.15,13.15,12.50,12.65,-,0.55,12.65,9,12.70,6,0.00,
1319,東陽,1175184,963,52397099,44.50,45.20,43.95,44.80,+,0.15,44.80,1,44.90,2,13.74,
1321,大洋,53001,37,1467827,27.80,27.80,27.60,27.75,,0.0,27.65,2,27.75,2,0.00,
1323,永裕,113865,72,3814391,33.50,33.70,33.35,33.70,-,0.05,33.35,6,33.70,8,10.15,
1324,地球,118000,35,1258650,10.80,10.80,10.60,10.80,-,0.05,10.65,5,10.80,19,270.00,
1325,恆大,71000,36,1110300,15.70,15.75,15.60,15.75,,0.0,15.60,10,15.75,15,21.28,
1326,台化,10872259,"5,658",1002970435,92.90,93.30,91.70,92.00,-,1.9,91.90,28,92.00,"1,095",12.11,
1337,再生-KY,730834,344,4481398,6.20,6.20,6.10,6.12,-,0.11,6.12,33,6.14,5,0.00,
1338,廣華-KY,144039,124,9556294,66.90,66.90,66.00,66.00,-,1.5,66.00,20,66.30,1,12.13,
1339,昭輝,42999,40,1547113,35.95,36.00,35.95,36.00,-,0.15,36.00,4,36.05,2,7.41,
1340,勝悅-KY,318050,168,5767926,18.40,18.40,18.00,18.25,-,0.2,18.25,2,18.30,4,107.35,
1341,富林-KY,6002,7,329620,54.00,55.30,54.00,55.30,,0.0,54.90,1,55.40,3,18.13,
1402,遠東新,9320146,"3,430",269233136,29.15,29.15,28.75,28.90,-,0.35,28.90,152,28.95,162,13.38,
1409,新纖,1897682,976,24709177,13.10,13.10,12.95,13.00,-,0.1,13.00,25,13.05,11,8.18,
1410,南染,4000,4,105600,26.30,26.55,26.25,26.55,-,0.05,26.15,1,26.55,1,19.10,
1413,宏洲,109400,43,1321550,12.10,12.15,12.00,12.10,-,0.05,12.10,3,12.15,7,8.64,
1414,東和,70684,29,477203,6.79,6.79,6.73,6.75,-,0.04,6.73,2,6.75,26,67.50,
1416,廣豐,209683,122,3196080,15.40,15.45,15.20,15.20,-,0.25,15.20,3,15.25,1,15.35,
1417,嘉裕,589565,169,3645454,6.22,6.23,6.16,6.17,-,0.1,6.17,1,6.18,36,0.00,
1418,東華,2355,23,17735,7.55,7.56,7.55,7.56,+,0.15,7.56,1,7.74,1,0.00,
1419,新紡,1148,4,46579,40.60,40.60,40.60,40.60,-,0.3,40.55,3,41.20,3,36.25,
1423,利華,29049,20,299859,10.30,10.40,10.25,10.35,+,0.05,10.25,49,10.35,12,15.00,
1432,大魯閣,161000,78,1227230,7.73,7.85,7.56,7.56,-,0.29,7.56,17,7.67,1,0.00,
1434,福懋,1713605,"1,025",59025430,34.50,34.55,34.40,34.40,-,0.55,34.40,64,34.50,2,11.86,
1435,中福,68000,24,373270,5.48,5.50,5.44,5.50,,0.0,5.48,3,5.50,4,137.50,
1436,華友聯,13500,12,569250,42.20,42.25,42.10,42.10,-,0.4,42.00,6,42.10,1,11.08,
1437,勤益控,179450,90,4095050,22.80,23.00,22.70,22.90,+,0.1,22.85,9,22.90,11,15.79,
